BGC,SS_NoSpace,Spp,ESuit,Use,Changes
CDFmm_OR,CDFmm_OR/113,Fd,1,D6,2 to 1
CDFmm_OR,CDFmm_OR/113,Mb,2,D6,
CDFmm_OR,CDFmm_OR/113,Og,2,D6,
CDFmm_WA,CDFmm_WA/101,Bg,2,C4,
CDFmm_WA,CDFmm_WA/101,Cw,3,C4,
CDFmm_WA,CDFmm_WA/101,Dr,2,C4,
CDFmm_WA,CDFmm_WA/101,Fd,1,C4,
CDFmm_WA,CDFmm_WA/101,Mb,2,C4,
CDFmm_WA,CDFmm_WA/101,Qg,3,C4,
CDFmm_WA,CDFmm_WA/101,Ra,3,C4,
CDFmm_WA,CDFmm_WA/103,Fd,1,B2,
CDFmm_WA,CDFmm_WA/103,Qg,2,B2,
CDFmm_WA,CDFmm_WA/103,Ra,2,B2,
CDFmm_WA,CDFmm_WA/113,Act,2,D6,1 to 2
CDFmm_WA,CDFmm_WA/103,Bg,2,B2,
CDFmm_WA,CDFmm_WA/113,Bg,2,D6,
CDFmm_WA,CDFmm_WA/113,Cw,1,D6,
CDFmm_WA,CDFmm_WA/113,Dr,1,D6,
CDFmm_WA,CDFmm_WA/113,Fd,1,D6,2 to 1
CDFmm_WA,CDFmm_WA/113,Mb,2,D6,
CDFmm_WA,CDFmm_WA/113,Ss,3,D6,
CDFxm_CA,CDFxm_CA/101,Fd,1,C4,
CDFxm_CA,CDFxm_CA/101,Oa,3,C4,
CDFxm_CA,CDFxm_CA/101,Ps,3,C4,
CDFxm_CA,CDFxm_CA/101,Py,2,C4,
CDFxm_CA,CDFxm_CA/101,Qb,2,C4,
CDFxm_CA,CDFxm_CA/101,Qc,5,C4,
CDFxm_CA,CDFxm_CA/101,Qg,1,C4,
CDFxm_CA,CDFxm_CA/101,Ra,2,C4,
CDFxm_CA,CDFxm_CA/103,Fd,3,B2,
CDFxm_CA,CDFxm_CA/103,Jw,2,B2,
CDFxm_CA,CDFxm_CA/103,Py,2,B2,
CDFxm_CA,CDFxm_CA/103,Pz,3,B2,
CDFxm_CA,CDFxm_CA/103,Qb,3,B2,
CDFxm_CA,CDFxm_CA/103,Qc,3,B2,
CDFxm_CA,CDFxm_CA/103,Qg,1,B2,
CDFxm_CA,CDFxm_CA/103,Ra,2,B2,
CDFxm_CA,CDFxm_CA/113,Act,2,D6,1 to 2
CDFxm_CA,CDFxm_CA/113,Fd,1,D6,2 to 1
CDFxm_CA,CDFxm_CA/113,Mb,2,D6,
CDFxm_CA,CDFxm_CA/113,Oa,2,D6,
CMAun,CMAun/00,X,1,B2,
CMAun,CMAun/00,X,1,C4,
CMAun,CMAun/00,X,1,D6,
CMAun_CA,CMAun_CA/00,X,1,B2,
CMAun_CA,CMAun_CA/00,X,1,C4,
CMAun_CA,CMAun_CA/00,X,1,D6,
CMAun_OR,CMAun_OR/00,X,1,B2,
CMAun_OR,CMAun_OR/00,X,1,C4,
CMAun_OR,CMAun_OR/00,X,1,D6,
CMAun_WA,CMAun_WA/00,X,1,B2,
CMAun_WA,CMAun_WA/00,X,1,C4,
CMAun_WA,CMAun_WA/00,X,1,D6,
CMAunp,CMAunp/00,X,1,B2,
CMAunp,CMAunp/00,X,1,C4,
CMAunp,CMAunp/00,X,1,D6,
CMAwh,CMAwh/00,X,1,B2,
CMAwh,CMAwh/00,X,1,C4,
CMAwh,CMAwh/00,X,1,D6,
CMXdm_OR,CMXdm_OR/101,Bc,2,C4,
CMXdm_OR,CMXdm_OR/101,Fd,1,C4,
CMXdm_OR,CMXdm_OR/101,Mb,5,C4,
CMXdm_OR,CMXdm_OR/101,Oa,2,C4,
CMXdm_OR,CMXdm_OR/101,Ot,3,C4,
CMXdm_OR,CMXdm_OR/101,Oy,5,C4,
CMXdm_OR,CMXdm_OR/101,Py,2,C4,
CMXdm_OR,CMXdm_OR/101,Qb,2,C4,
CMXdm_OR,CMXdm_OR/101,Qc,3,C4,
CMXdm_OR,CMXdm_OR/101,Ra,2,C4,
CMXdm_OR,CMXdm_OR/103,Fd,1,B2,
CMXdm_OR,CMXdm_OR/103,Mb,5,B2,
CMXdm_OR,CMXdm_OR/103,Oa,5,B2,
CMXdm_OR,CMXdm_OR/103,Ps,3,B2,
CMXdm_OR,CMXdm_OR/103,Py,1,B2,
CMXdm_OR,CMXdm_OR/103,Pz,3,B2,
CMXdm_OR,CMXdm_OR/103,Qb,1,B2,
CMXdm_OR,CMXdm_OR/103,Qc,2,B2,
CMXdm_OR,CMXdm_OR/103,Qg,2,B2,
CMXdm_OR,CMXdm_OR/103,Ra,2,B2,
