BGC,Unit,Spp,ESuit
BWBSub,BWBSub/f,Sx,1
BWBSub,BWBSub/g,Pj,2
BWBSub,BWBSub/g,Sb,1
BWBSub,BWBSub/h,Sb,1
BWBSub,BWBSub/i,Sb,1
BWBSub,BWBSub/j,Lt,1
BWBSub,BWBSub/j,Sx,3
BWBSuf,BWBSuf/b,Pl,1
BWBSuf,BWBSuf/b,Sb,3
BWBSuf,BWBSuf/c,Acb,3
BWBSuf,BWBSuf/c,At,1
BWBSuf,BWBSuf/c,Pl,1
BWBSuf,BWBSuf/c,Sb,3
BWBSuf,BWBSuf/c,Sx,1
BWBSuf,BWBSuf/d,Pl,1
BWBSuf,BWBSuf/d,Sb,1
BWBSuf,BWBSuf/e,At,2
BWBSuf,BWBSuf/e,Bl,2
BWBSuf,BWBSuf/e,Pl,1
BWBSuf,BWBSuf/e,Sb,3
BWBSuf,BWBSuf/e,Sx,1
BWBSuf,BWBSuf/f,Acb,2
BWBSuf,BWBSuf/f,At,2
BWBSuf,BWBSuf/f,Bl,1
BWBSuf,BWBSuf/f,Ep,3
BWBSuf,BWBSuf/f,Pl,1
BWBSuf,BWBSuf/f,Sb,3
BWBSuf,BWBSuf/f,Sx,1
BWBSuf,BWBSuf/h,Bl,3
BWBSuf,BWBSuf/h,Pl,1
BWBSuf,BWBSuf/h,Sb,1
BWBSuf,BWBSuf/i,Bl,3
BWBSuf,BWBSuf/i,Pl,2
BWBSuf,BWBSuf/i,Sb,1
BWBSuf,BWBSuf/i,Sx,1
BWBSuf,BWBSuf/j,Acb,3
BWBSuf,BWBSuf/j,Bl,3
BWBSuf,BWBSuf/j,Pl,2
BWBSuf,BWBSuf/j,Sb,3
BWBSuf,BWBSuf/j,Sx,1
BWBSuf,BWBSuf/k,Sb,1
BWBSuf,BWBSuf/l,Lt,2
BWBSuf,BWBSuf/l,Sb,1
BWBSuf,BWBSuf/m,Lt,2
BWBSuf,BWBSuf/m,Sb,1
BWBSvk,BWBSvk/d,Bl,1
BWBSvk,BWBSvk/h,Bl,1
BWBSvk,BWBSvk/m,Bl,1
BWBSwk1,BWBSwk1/101,At,2
BWBSwk1,BWBSwk1/101,Pl,1
BWBSwk1,BWBSwk1/101,Sx,1
BWBSwk1,BWBSwk1/102,Pl,2
BWBSwk1,BWBSwk1/102,Sx,3
BWBSwk1,BWBSwk1/103,At,3
BWBSwk1,BWBSwk1/103,Pl,1
BWBSwk1,BWBSwk1/103,Sx,2
BWBSwk1,BWBSwk1/104,At,3
BWBSwk1,BWBSwk1/104,Pl,2
BWBSwk1,BWBSwk1/104,Sb,2
BWBSwk1,BWBSwk1/104,Sx,3
BWBSwk1,BWBSwk1/110,Acb,2
BWBSwk1,BWBSwk1/110,Pl,2
BWBSwk1,BWBSwk1/110,Sx,1
BWBSwk1,BWBSwk1/111,Lt,2
BWBSwk1,BWBSwk1/111,Pl,1
BWBSwk1,BWBSwk1/111,Sb,1
BWBSwk1,BWBSwk1/111,Sx,1
BWBSwk2,BWBSwk2/101,Acb,3
BWBSwk2,BWBSwk2/101,At,2
BWBSwk2,BWBSwk2/101,Bl,3
BWBSwk2,BWBSwk2/101,Ep,3
BWBSwk2,BWBSwk2/101,Pl,1
BWBSwk2,BWBSwk2/101,Sx,1
BWBSwk2,BWBSwk2/102,Pl,2
BWBSwk2,BWBSwk2/102,Sx,3
BWBSwk2,BWBSwk2/103,At,3
BWBSwk2,BWBSwk2/103,Pl,1
BWBSwk2,BWBSwk2/103,Sb,3
BWBSwk2,BWBSwk2/103,Sx,3
BWBSwk2,BWBSwk2/104,At,3
BWBSwk2,BWBSwk2/104,Pl,2
BWBSwk2,BWBSwk2/104,Sx,2
BWBSwk2,BWBSwk2/110,Acb,3
BWBSwk2,BWBSwk2/110,At,3
BWBSwk2,BWBSwk2/110,Ep,3
BWBSwk2,BWBSwk2/110,Pl,2
BWBSwk2,BWBSwk2/110,Sx,1
BWBSwk2,BWBSwk2/111,Acb,3
BWBSwk2,BWBSwk2/111,Pl,2
BWBSwk2,BWBSwk2/111,Sx,1
BWBSwk3,BWBSwk3/101,Acb,3
BWBSwk3,BWBSwk3/101,At,3
BWBSwk3,BWBSwk3/101,Bl,1
BWBSwk3,BWBSwk3/101,Ep,3
BWBSwk3,BWBSwk3/101,Pl,2
BWBSwk3,BWBSwk3/101,Sb,3
BWBSwk3,BWBSwk3/101,Sx,1
BWBSwk3,BWBSwk3/102,At,3
BWBSwk3,BWBSwk3/102,Bl,3
BWBSwk3,BWBSwk3/102,Pl,3
BWBSwk3,BWBSwk3/102,Sb,3
BWBSwk3,BWBSwk3/102,Sx,2
BWBSwk3,BWBSwk3/103,At,3
BWBSwk3,BWBSwk3/103,Bl,3
BWBSwk3,BWBSwk3/103,Pl,3
BWBSwk3,BWBSwk3/103,Sb,2
BWBSwk3,BWBSwk3/103,Sx,2
BWBSwk3,BWBSwk3/110,Acb,3
BWBSwk3,BWBSwk3/110,Bl,2
BWBSwk3,BWBSwk3/110,Lt,2
BWBSwk3,BWBSwk3/110,Pl,3
BWBSwk3,BWBSwk3/110,Sb,2
BWBSwk3,BWBSwk3/110,Sx,1
BWBSwk3,BWBSwk3/111,Acb,3
BWBSwk3,BWBSwk3/111,Lt,2
BWBSwk3,BWBSwk3/111,Pl,2
BWBSwk3,BWBSwk3/111,Sb,2
CCHun,CCHun/00,X,1
CCHun,CCHun/101,Qc,1
CCHun,CCHun/101,Qd,1
CCHun,CCHun/101,Qx,1
CCHun,CCHun/110,On,1
CCHun,CCHun/110,Pc,1
CCHun,CCHun/110,Qc,1
CCHun,CCHun/110,Qd,1
CCHun,CCHun/111,On,1
CCHun,CCHun/111,Pc,1
CCHun,CCHun/111,Qd,1
CCHun,CCHun/Gs,X,1
CDFdmz,CDFdmz/101,Bg,3
CDFdmz,CDFdmz/101,Dr,3
CDFdmz,CDFdmz/101,Fd,1
CDFdmz,CDFdmz/101,Gp,2
CDFdmz,CDFdmz/101,Mb,2
CDFdmz,CDFdmz/101,Oa,3
CDFdmz,CDFdmz/101,Oy,3
CDFdmz,CDFdmz/101,Ra,3
CDFdmz,CDFdmz/102,Bg,3
CDFdmz,CDFdmz/102,Fd,1
CDFdmz,CDFdmz/102,Gp,3
CDFdmz,CDFdmz/102,Mb,3
CDFdmz,CDFdmz/102,Qg,1
CDFdmz,CDFdmz/102,Ra,2
CDFdmz,CDFdmz/110,Bg,2
CDFdmz,CDFdmz/110,Cw,3
CDFdmz,CDFdmz/110,Dr,2
CDFdmz,CDFdmz/110,Fd,1
CDFdmz,CDFdmz/110,Gp,3
CDFdmz,CDFdmz/110,Mb,2
CDFdmz,CDFdmz/111,Act,2
CDFdmz,CDFdmz/111,Bg,3
CDFdmz,CDFdmz/111,Cw,1
CDFdmz,CDFdmz/111,Dr,2
CDFdmz,CDFdmz/111,Fd,1
CDFdmz,CDFdmz/111,Gp,2
CDFdmz,CDFdmz/111,Hw,2
CDFdmz,CDFdmz/111,Mb,2
CDFdmz,CDFdmz/111,Og,2
CDFmm,CDFmm/01,Bg,2
CDFmm,CDFmm/01,Cw,3
CDFmm,CDFmm/01,Dr,2
CDFmm,CDFmm/01,Fd,1
CDFmm,CDFmm/01,Mb,2
